Experiment;Participant;Block;Triallist;Trial;Mapping;Stimulus;Accuracy;Correct_Key;Actual_Key;RT
Sizeloc1a;1;1;Blocklist1;1;compatible;small;0;left;right;919
Sizeloc1a;1;1;Blocklist1;2;compatible;small;1;left;left;629
Sizeloc1a;1;1;Blocklist1;3;compatible;large;1;right;right;550
Sizeloc1a;1;1;Blocklist1;4;compatible;large;1;right;right;403
Sizeloc1a;1;1;Blocklist1;5;compatible;large;1;right;right;366
Sizeloc1a;1;1;Blocklist1;6;compatible;large;1;right;right;323
Sizeloc1a;1;1;Blocklist1;7;compatible;small;1;left;left;449
Sizeloc1a;1;1;Blocklist1;8;compatible;small;1;left;left;577
Sizeloc1a;1;1;Blocklist1;9;compatible;large;1;right;right;420
Sizeloc1a;1;1;Blocklist1;10;compatible;small;1;left;left;486
Sizeloc1a;1;2;Blocklist1;1;compatible;small;1;left;left;376
Sizeloc1a;1;2;Blocklist1;2;compatible;small;1;left;left;340
Sizeloc1a;1;2;Blocklist1;3;compatible;small;1;left;left;418
Sizeloc1a;1;2;Blocklist1;4;compatible;small;1;left;left;421
Sizeloc1a;1;2;Blocklist1;5;compatible;small;1;left;left;303
Sizeloc1a;1;2;Blocklist1;6;compatible;large;1;right;right;388
Sizeloc1a;1;2;Blocklist1;7;compatible;large;1;right;right;391
Sizeloc1a;1;2;Blocklist1;8;compatible;small;1;left;left;387
Sizeloc1a;1;2;Blocklist1;9;compatible;large;1;right;right;375
Sizeloc1a;1;2;Blocklist1;10;compatible;small;1;left;left;419
Sizeloc1a;1;2;Blocklist1;11;compatible;small;1;left;left;414
Sizeloc1a;1;2;Blocklist1;12;compatible;small;1;left;left;376
Sizeloc1a;1;2;Blocklist1;13;compatible;small;1;left;left;381
Sizeloc1a;1;2;Blocklist1;14;compatible;large;1;right;right;424
Sizeloc1a;1;2;Blocklist1;15;compatible;large;1;right;right;346
Sizeloc1a;1;2;Blocklist1;16;compatible;large;1;right;right;303
Sizeloc1a;1;2;Blocklist1;17;compatible;small;1;left;left;342
Sizeloc1a;1;2;Blocklist1;18;compatible;large;1;right;right;419
Sizeloc1a;1;2;Blocklist1;19;compatible;small;1;left;left;412
Sizeloc1a;1;2;Blocklist1;20;compatible;large;1;right;right;438
Sizeloc1a;1;2;Blocklist1;21;compatible;small;1;left;left;390
Sizeloc1a;1;2;Blocklist1;22;compatible;large;1;right;right;425
Sizeloc1a;1;2;Blocklist1;23;compatible;small;1;left;left;418
Sizeloc1a;1;2;Blocklist1;24;compatible;small;1;left;left;355
Sizeloc1a;1;2;Blocklist1;25;compatible;large;1;right;right;423
Sizeloc1a;1;2;Blocklist1;26;compatible;small;1;left;left;333
Sizeloc1a;1;2;Blocklist1;27;compatible;large;1;right;right;407
Sizeloc1a;1;2;Blocklist1;28;compatible;large;1;right;right;439
Sizeloc1a;1;2;Blocklist1;29;compatible;small;1;left;left;416
Sizeloc1a;1;2;Blocklist1;30;compatible;small;1;left;left;329
Sizeloc1a;1;2;Blocklist1;31;compatible;small;1;left;left;302
Sizeloc1a;1;2;Blocklist1;32;compatible;small;1;left;left;276
Sizeloc1a;1;2;Blocklist1;33;compatible;large;1;right;right;371
Sizeloc1a;1;2;Blocklist1;34;compatible;small;1;left;left;406
Sizeloc1a;1;2;Blocklist1;35;compatible;small;1;left;left;367
Sizeloc1a;1;2;Blocklist1;36;compatible;large;1;right;right;368
Sizeloc1a;1;2;Blocklist1;37;compatible;large;1;right;right;427
Sizeloc1a;1;2;Blocklist1;38;compatible;small;1;left;left;442
Sizeloc1a;1;2;Blocklist1;39;compatible;large;1;right;right;347
Sizeloc1a;1;2;Blocklist1;40;compatible;small;1;left;left;320
Sizeloc1a;1;2;Blocklist1;41;compatible;large;1;right;right;437
Sizeloc1a;1;2;Blocklist1;42;compatible;large;1;right;right;367
Sizeloc1a;1;2;Blocklist1;43;compatible;large;1;right;right;395
Sizeloc1a;1;2;Blocklist1;44;compatible;large;1;right;right;333
Sizeloc1a;1;2;Blocklist1;45;compatible;large;1;right;right;338
Sizeloc1a;1;2;Blocklist1;46;compatible;large;1;right;right;392
Sizeloc1a;1;2;Blocklist1;47;compatible;large;1;right;right;571
Sizeloc1a;1;2;Blocklist1;48;compatible;large;1;right;right;399
Sizeloc1a;1;2;Blocklist1;49;compatible;large;1;right;right;352
Sizeloc1a;1;2;Blocklist1;50;compatible;small;1;left;left;431
Sizeloc1a;1;2;Blocklist1;51;compatible;small;1;left;left;401
Sizeloc1a;1;2;Blocklist1;52;compatible;large;1;right;right;403
Sizeloc1a;1;2;Blocklist1;53;compatible;large;1;right;right;341
Sizeloc1a;1;2;Blocklist1;54;compatible;large;1;right;right;379
Sizeloc1a;1;2;Blocklist1;55;compatible;large;1;right;right;305
Sizeloc1a;1;2;Blocklist1;56;compatible;small;1;left;left;503
Sizeloc1a;1;2;Blocklist1;57;compatible;small;1;left;left;406
Sizeloc1a;1;2;Blocklist1;58;compatible;small;1;left;left;334
Sizeloc1a;1;2;Blocklist1;59;compatible;large;1;right;right;362
Sizeloc1a;1;2;Blocklist1;60;compatible;small;1;left;left;470
Sizeloc1a;1;3;Blocklist1;1;incompatible;large;1;left;left;347
Sizeloc1a;1;3;Blocklist1;2;incompatible;large;1;left;left;416
Sizeloc1a;1;3;Blocklist1;3;incompatible;small;1;right;right;410
Sizeloc1a;1;3;Blocklist1;4;incompatible;small;1;right;right;284
Sizeloc1a;1;3;Blocklist1;5;incompatible;small;1;right;right;372
Sizeloc1a;1;3;Blocklist1;6;incompatible;small;1;right;right;311
Sizeloc1a;1;3;Blocklist1;7;incompatible;large;1;left;left;349
Sizeloc1a;1;3;Blocklist1;8;incompatible;large;1;left;left;344
Sizeloc1a;1;3;Blocklist1;9;incompatible;large;1;left;left;422
Sizeloc1a;1;3;Blocklist1;10;incompatible;small;1;right;right;520
Sizeloc1a;1;3;Blocklist1;11;incompatible;large;1;left;left;389
Sizeloc1a;1;3;Blocklist1;12;incompatible;small;1;right;right;361
Sizeloc1a;1;3;Blocklist1;13;incompatible;small;1;right;right;364
Sizeloc1a;1;3;Blocklist1;14;incompatible;large;1;left;left;312
Sizeloc1a;1;3;Blocklist1;15;incompatible;small;1;right;right;327
Sizeloc1a;1;3;Blocklist1;16;incompatible;large;1;left;left;284
Sizeloc1a;1;3;Blocklist1;17;incompatible;small;1;right;right;386
Sizeloc1a;1;3;Blocklist1;18;incompatible;large;1;left;left;350
Sizeloc1a;1;3;Blocklist1;19;incompatible;large;1;left;left;342
Sizeloc1a;1;3;Blocklist1;20;incompatible;small;1;right;right;395
Sizeloc1a;1;4;Blocklist1;1;incompatible;small;1;right;right;385
Sizeloc1a;1;4;Blocklist1;2;incompatible;small;1;right;right;428
Sizeloc1a;1;4;Blocklist1;3;incompatible;small;1;right;right;446
Sizeloc1a;1;4;Blocklist1;4;incompatible;small;1;right;right;359
Sizeloc1a;1;4;Blocklist1;5;incompatible;large;1;left;left;435
Sizeloc1a;1;4;Blocklist1;6;incompatible;large;1;left;left;436
Sizeloc1a;1;4;Blocklist1;7;incompatible;small;1;right;right;413
Sizeloc1a;1;4;Blocklist1;8;incompatible;large;1;left;left;263
Sizeloc1a;1;4;Blocklist1;9;incompatible;large;1;left;left;384
Sizeloc1a;1;4;Blocklist1;10;incompatible;large;1;left;left;331
Sizeloc1a;1;4;Blocklist1;11;incompatible;large;1;left;left;289
Sizeloc1a;1;4;Blocklist1;12;incompatible;small;1;right;right;465
Sizeloc1a;1;4;Blocklist1;13;incompatible;small;1;right;right;432
Sizeloc1a;1;4;Blocklist1;14;incompatible;large;1;left;left;442
Sizeloc1a;1;4;Blocklist1;15;incompatible;large;1;left;left;395
Sizeloc1a;1;4;Blocklist1;16;incompatible;large;1;left;left;454
Sizeloc1a;1;4;Blocklist1;17;incompatible;large;1;left;left;374
Sizeloc1a;1;4;Blocklist1;18;incompatible;large;1;left;left;546
Sizeloc1a;1;4;Blocklist1;19;incompatible;small;1;right;right;486
Sizeloc1a;1;4;Blocklist1;20;incompatible;large;1;left;left;429
Sizeloc1a;1;4;Blocklist1;21;incompatible;small;1;right;right;415
Sizeloc1a;1;4;Blocklist1;22;incompatible;small;1;right;right;393
Sizeloc1a;1;4;Blocklist1;23;incompatible;small;1;right;right;387
Sizeloc1a;1;4;Blocklist1;24;incompatible;large;1;left;left;726
Sizeloc1a;1;4;Blocklist1;25;incompatible;small;1;right;right;546
Sizeloc1a;1;4;Blocklist1;26;incompatible;small;1;right;right;398
Sizeloc1a;1;4;Blocklist1;27;incompatible;large;1;left;left;456
Sizeloc1a;1;4;Blocklist1;28;incompatible;large;0;left;right;305
Sizeloc1a;1;4;Blocklist1;29;incompatible;small;1;right;right;927
Sizeloc1a;1;4;Blocklist1;30;incompatible;large;1;left;left;461
Sizeloc1a;1;4;Blocklist1;31;incompatible;large;1;left;left;349
Sizeloc1a;1;4;Blocklist1;32;incompatible;small;1;right;right;523
Sizeloc1a;1;4;Blocklist1;33;incompatible;small;1;right;right;512
Sizeloc1a;1;4;Blocklist1;34;incompatible;large;1;left;left;606
Sizeloc1a;1;4;Blocklist1;35;incompatible;small;1;right;right;512
Sizeloc1a;1;4;Blocklist1;36;incompatible;large;1;left;left;319
Sizeloc1a;1;4;Blocklist1;37;incompatible;large;1;left;left;406
Sizeloc1a;1;4;Blocklist1;38;incompatible;large;1;left;left;400
Sizeloc1a;1;4;Blocklist1;39;incompatible;small;1;right;right;395
Sizeloc1a;1;4;Blocklist1;40;incompatible;small;1;right;right;446
Sizeloc1a;1;4;Blocklist1;41;incompatible;small;1;right;right;391
Sizeloc1a;1;4;Blocklist1;42;incompatible;small;1;right;right;427
Sizeloc1a;1;4;Blocklist1;43;incompatible;large;1;left;left;341
Sizeloc1a;1;4;Blocklist1;44;incompatible;large;1;left;left;362
Sizeloc1a;1;4;Blocklist1;45;incompatible;small;1;right;right;999
Sizeloc1a;1;4;Blocklist1;46;incompatible;small;1;right;right;579
Sizeloc1a;1;4;Blocklist1;47;incompatible;small;1;right;right;335
Sizeloc1a;1;4;Blocklist1;48;incompatible;small;1;right;right;389
Sizeloc1a;1;4;Blocklist1;49;incompatible;small;1;right;right;329
Sizeloc1a;1;4;Blocklist1;50;incompatible;small;1;right;right;311
Sizeloc1a;1;4;Blocklist1;51;incompatible;large;1;left;left;470
Sizeloc1a;1;4;Blocklist1;52;incompatible;large;1;left;left;406
Sizeloc1a;1;4;Blocklist1;53;incompatible;small;1;right;right;393
Sizeloc1a;1;4;Blocklist1;54;incompatible;large;1;left;left;365
Sizeloc1a;1;4;Blocklist1;55;incompatible;small;1;right;right;482
Sizeloc1a;1;4;Blocklist1;56;incompatible;large;1;left;left;450
Sizeloc1a;1;4;Blocklist1;57;incompatible;large;1;left;left;532
Sizeloc1a;1;4;Blocklist1;58;incompatible;large;1;left;left;434
Sizeloc1a;1;4;Blocklist1;59;incompatible;large;1;left;left;372
Sizeloc1a;1;4;Blocklist1;60;incompatible;small;1;right;right;401
Sizeloc1b;2;1;Blocklist1;1;incompatible;large;1;left;left;438
Sizeloc1b;2;1;Blocklist1;2;incompatible;small;1;right;right;328
Sizeloc1b;2;1;Blocklist1;3;incompatible;small;1;right;right;334
Sizeloc1b;2;1;Blocklist1;4;incompatible;large;1;left;left;251
Sizeloc1b;2;1;Blocklist1;5;incompatible;small;1;right;right;299
Sizeloc1b;2;1;Blocklist1;6;incompatible;small;1;right;right;298
Sizeloc1b;2;1;Blocklist1;7;incompatible;large;1;left;left;305
Sizeloc1b;2;1;Blocklist1;8;incompatible;large;1;left;left;264
Sizeloc1b;2;1;Blocklist1;9;incompatible;small;1;right;right;321
Sizeloc1b;2;1;Blocklist1;10;incompatible;large;1;left;left;327
Sizeloc1b;2;2;Blocklist1;1;incompatible;large;1;left;left;304
