Participant,trial_type,trial_number,key_pressed,Response,correctness,RT,logRT,Mapping,expected,handedness
1762,experimental_trials_compatible,1,q,left,1,413,6.023447592961033,compatible,small,right-handed
1762,experimental_trials_compatible,2,q,left,1,385,5.953243334287785,compatible,small,right-handed
1762,experimental_trials_compatible,3,p,right,1,357,5.877735781779639,compatible,large,right-handed
1762,experimental_trials_compatible,4,p,right,1,418,6.035481432524756,compatible,large,right-handed
1762,experimental_trials_compatible,5,p,right,1,356,5.87493073085203,compatible,large,right-handed
1762,experimental_trials_compatible,6,q,left,1,371,5.916202062607435,compatible,small,right-handed
1762,experimental_trials_compatible,7,q,left,1,413,6.023447592961033,compatible,small,right-handed
1762,experimental_trials_compatible,8,q,left,1,522,6.257667587882639,compatible,small,right-handed
1762,experimental_trials_compatible,9,p,right,1,539,6.289715570908998,compatible,large,right-handed
1762,experimental_trials_compatible,10,q,left,1,392,5.971261839790462,compatible,small,right-handed
1762,experimental_trials_compatible,11,p,right,1,409,6.013715156042802,compatible,large,right-handed
1762,experimental_trials_compatible,12,q,left,1,425,6.052089168924417,compatible,small,right-handed
1762,experimental_trials_compatible,13,p,right,1,488,6.1903154058531475,compatible,large,right-handed
1762,experimental_trials_compatible,14,p,right,1,379,5.937536205082426,compatible,large,right-handed
1762,experimental_trials_compatible,15,q,left,1,434,6.073044534100405,compatible,small,right-handed
1762,experimental_trials_compatible,16,p,right,1,422,6.045005314036012,compatible,large,right-handed
1762,experimental_trials_compatible,17,p,right,1,438,6.082218910376446,compatible,large,right-handed
1762,experimental_trials_compatible,18,q,left,1,447,6.102558594613569,compatible,small,right-handed
1762,experimental_trials_compatible,19,q,left,1,467,6.1463292576688975,compatible,small,right-handed
1762,experimental_trials_compatible,20,q,left,1,441,6.089044875446846,compatible,small,right-handed
1762,experimental_trials_compatible,21,p,right,1,348,5.8522024797744745,compatible,large,right-handed
1762,experimental_trials_compatible,22,p,right,1,388,5.961005339623274,compatible,large,right-handed
1762,experimental_trials_compatible,23,p,right,1,474,6.161207321695077,compatible,large,right-handed
1762,experimental_trials_compatible,24,q,left,1,454,6.118097198041348,compatible,small,right-handed
1762,experimental_trials_compatible,25,p,right,1,428,6.059123195581797,compatible,large,right-handed
1762,experimental_trials_compatible,26,p,right,1,391,5.968707559985366,compatible,large,right-handed
1762,experimental_trials_compatible,27,p,right,1,434,6.073044534100405,compatible,large,right-handed
1762,experimental_trials_compatible,28,p,right,1,471,6.154858094016418,compatible,large,right-handed
1762,experimental_trials_compatible,29,q,left,1,541,6.293419278846481,compatible,small,right-handed
1762,experimental_trials_compatible,30,q,left,1,443,6.093569770045136,compatible,small,right-handed
1762,experimental_trials_compatible,31,p,right,1,370,5.91350300563827,compatible,large,right-handed
1762,experimental_trials_compatible,32,p,right,1,357,5.877735781779639,compatible,large,right-handed
1762,experimental_trials_compatible,33,q,left,1,454,6.118097198041348,compatible,small,right-handed
1762,experimental_trials_compatible,34,q,left,1,592,6.3835066348840055,compatible,small,right-handed
1762,experimental_trials_compatible,35,q,left,1,416,6.030685260261263,compatible,small,right-handed
1762,experimental_trials_compatible,36,p,right,1,373,5.921578419643816,compatible,large,right-handed
1762,experimental_trials_compatible,37,q,left,1,407,6.008813185442595,compatible,small,right-handed
1762,experimental_trials_compatible,38,q,left,1,369,5.910796644040527,compatible,small,right-handed
1762,experimental_trials_compatible,39,p,right,1,419,6.037870919922137,compatible,large,right-handed
1762,experimental_trials_compatible,40,p,right,1,454,6.118097198041348,compatible,large,right-handed
1762,experimental_trials_compatible,41,q,left,1,394,5.976350909297934,compatible,small,right-handed
1762,experimental_trials_compatible,42,p,right,1,394,5.976350909297934,compatible,large,right-handed
1762,experimental_trials_compatible,43,p,right,1,444,6.095824562432225,compatible,large,right-handed
1762,experimental_trials_compatible,44,q,left,1,384,5.950642552587727,compatible,small,right-handed
1762,experimental_trials_compatible,45,p,right,1,357,5.877735781779639,compatible,large,right-handed
1762,experimental_trials_compatible,46,p,right,1,487,6.18826412308259,compatible,large,right-handed
1762,experimental_trials_compatible,47,p,right,1,442,6.091309882077698,compatible,large,right-handed
1762,experimental_trials_compatible,48,q,left,1,366,5.902633333401366,compatible,small,right-handed
1762,experimental_trials_compatible,49,q,left,1,433,6.07073772800249,compatible,small,right-handed
1762,experimental_trials_compatible,50,q,left,1,473,6.159095388491933,compatible,small,right-handed
1762,experimental_trials_compatible,51,q,left,1,488,6.1903154058531475,compatible,small,right-handed
1762,experimental_trials_compatible,52,q,left,1,467,6.1463292576688975,compatible,small,right-handed
1762,experimental_trials_compatible,53,q,left,1,386,5.955837369464831,compatible,small,right-handed
1762,experimental_trials_compatible,54,p,right,1,424,6.049733455231958,compatible,large,right-handed
1762,experimental_trials_compatible,55,p,right,1,459,6.129050210060545,compatible,large,right-handed
1762,experimental_trials_compatible,56,q,left,1,354,5.869296913133774,compatible,small,right-handed
1762,experimental_trials_compatible,57,p,right,1,364,5.8971538676367405,compatible,large,right-handed
1762,experimental_trials_compatible,58,q,left,1,446,6.100318952020064,compatible,small,right-handed
1762,experimental_trials_compatible,59,q,left,1,448,6.104793232414985,compatible,small,right-handed
1762,experimental_trials_compatible,60,p,right,1,423,6.0473721790462776,compatible,large,right-handed
1762,experimental_trials_incompatible,1,q,left,1,460,6.131226489483141,incompatible,large,right-handed
1762,experimental_trials_incompatible,2,q,left,1,507,6.2285110035911835,incompatible,large,right-handed
1762,experimental_trials_incompatible,3,q,left,1,378,5.934894195619588,incompatible,large,right-handed
1762,experimental_trials_incompatible,4,q,left,1,385,5.953243334287785,incompatible,large,right-handed
1762,experimental_trials_incompatible,5,p,right,1,425,6.052089168924417,incompatible,small,right-handed
1762,experimental_trials_incompatible,6,q,left,1,410,6.016157159698354,incompatible,large,right-handed
1762,experimental_trials_incompatible,7,q,left,1,466,6.1441856341256456,incompatible,large,right-handed
1762,experimental_trials_incompatible,8,p,right,1,379,5.937536205082426,incompatible,small,right-handed
1762,experimental_trials_incompatible,9,p,right,1,469,6.150602768446279,incompatible,small,right-handed
1762,experimental_trials_incompatible,10,q,left,1,371,5.916202062607435,incompatible,large,right-handed
1762,experimental_trials_incompatible,11,p,right,1,456,6.1224928095143865,incompatible,small,right-handed
1762,experimental_trials_incompatible,12,p,right,1,524,6.261491684321042,incompatible,small,right-handed
1762,experimental_trials_incompatible,13,q,left,1,362,5.8916442118257715,incompatible,large,right-handed
1762,experimental_trials_incompatible,14,q,left,1,350,5.857933154483459,incompatible,large,right-handed
1762,experimental_trials_incompatible,15,q,left,1,412,6.021023349349527,incompatible,large,right-handed
1762,experimental_trials_incompatible,16,p,right,1,423,6.0473721790462776,incompatible,small,right-handed
1762,experimental_trials_incompatible,17,q,left,1,287,5.659482215759621,incompatible,large,right-handed
1762,experimental_trials_incompatible,18,q,left,1,338,5.823045895483019,incompatible,large,right-handed
1762,experimental_trials_incompatible,19,q,left,1,403,5.998936561946683,incompatible,large,right-handed
1762,experimental_trials_incompatible,20,p,right,1,378,5.934894195619588,incompatible,small,right-handed
1762,experimental_trials_incompatible,21,p,right,1,466,6.1441856341256456,incompatible,small,right-handed
1762,experimental_trials_incompatible,22,q,left,1,389,5.963579343618446,incompatible,large,right-handed
1762,experimental_trials_incompatible,23,q,left,1,381,5.942799375126701,incompatible,large,right-handed
