"Participant","trial_type","trial_number","key_pressed","Response","correctness","RT","logRT","Mapping","expected","Handedness"
2090,"experimental_trials_incompatible",1,"p","right",1,480,6.17378610390194,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",2,"q","left",1,441,6.08904487544685,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",3,"p","right",1,403,5.99893656194668,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",4,"q","left",1,331,5.80211837537706,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",5,"p","right",1,672,6.51025834052315,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",6,"q","left",1,572,6.3491389913798,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",7,"p","right",1,533,6.27852142416584,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",8,"p","right",1,576,6.35610766069589,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",9,"q","left",1,447,6.10255859461357,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",10,"p","right",1,627,6.44094654063292,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",11,"q","left",1,337,5.82008293035236,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",12,"q","left",1,479,6.17170059741091,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",13,"q","left",1,408,6.01126717440416,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",14,"p","right",1,452,6.11368217983223,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",15,"q","left",1,433,6.07073772800249,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",16,"q","left",1,425,6.05208916892442,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",17,"q","left",1,619,6.4281052726846,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",18,"p","right",1,574,6.35262939631957,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",19,"q","left",1,617,6.42486902390539,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",20,"q","left",1,377,5.93224518744801,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",21,"q","left",1,427,6.05678401322862,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",22,"q","left",1,395,5.97888576490112,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",23,"q","left",1,322,5.77455154554441,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",24,"p","right",1,508,6.23048144757848,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",25,"p","right",1,558,6.32435896238131,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",26,"p","right",1,367,5.90536184805457,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",27,"q","left",1,368,5.90808293816893,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",28,"p","right",1,448,6.10479323241498,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",29,"q","left",1,362,5.89164421182577,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",30,"p","right",1,533,6.27852142416584,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",31,"p","right",1,428,6.0591231955818,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",32,"p","right",1,493,6.20050917404269,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",33,"p","right",1,507,6.22851100359118,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",34,"p","right",1,452,6.11368217983223,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",35,"q","left",1,418,6.03548143252476,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",36,"p","right",1,458,6.12686918411419,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",37,"q","left",1,412,6.02102334934953,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",38,"p","right",1,443,6.09356977004514,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",39,"q","left",1,423,6.04737217904628,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",40,"q","left",1,433,6.07073772800249,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",41,"p","right",1,472,6.15697898558556,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",42,"q","left",1,394,5.97635090929793,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",43,"q","left",1,492,6.19847871649231,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",44,"p","right",1,488,6.19031540585315,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",45,"p","right",1,378,5.93489419561959,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",46,"p","right",1,478,6.16961073249146,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",47,"p","right",1,378,5.93489419561959,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",48,"q","left",1,326,5.78689738136671,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",49,"q","left",1,517,6.24804287450843,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",50,"q","left",1,451,6.11146733950268,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",51,"q","left",1,432,6.06842558824411,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",52,"p","right",1,438,6.08221891037645,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",53,"q","left",1,436,6.07764224334903,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",54,"p","right",1,523,6.25958146406492,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",55,"p","right",1,407,6.00881318544259,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",56,"q","left",1,368,5.90808293816893,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",57,"q","left",1,443,6.09356977004514,"incompatible","large","right-handed"
2090,"experimental_trials_incompatible",58,"p","right",1,482,6.1779441140506,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",59,"p","right",1,381,5.9427993751267,"incompatible","small","right-handed"
2090,"experimental_trials_incompatible",60,"p","right",1,416,6.03068526026126,"incompatible","small","right-handed"
2090,"experimental_trials_compatible",1,"q","left",1,1123,7.02375895473844,"compatible","small","right-handed"
2090,"experimental_trials_compatible",2,"p","right",1,602,6.40025744530882,"compatible","large","right-handed"
2090,"experimental_trials_compatible",3,"p","right",1,503,6.22059017009974,"compatible","large","right-handed"
2090,"experimental_trials_compatible",4,"q","left",1,412,6.02102334934953,"compatible","small","right-handed"
2090,"experimental_trials_compatible",5,"q","left",1,397,5.98393628068719,"compatible","small","right-handed"
2090,"experimental_trials_compatible",6,"p","right",1,581,6.36475075685191,"compatible","large","right-handed"
2090,"experimental_trials_compatible",7,"q","left",1,439,6.08449941307517,"compatible","small","right-handed"
2090,"experimental_trials_compatible",8,"q","left",1,379,5.93753620508243,"compatible","small","right-handed"
2090,"experimental_trials_compatible",9,"p","right",1,498,6.21060007702465,"compatible","large","right-handed"
2090,"experimental_trials_compatible",10,"q","left",1,493,6.20050917404269,"compatible","small","right-handed"
2090,"experimental_trials_compatible",11,"p","right",1,517,6.24804287450843,"compatible","large","right-handed"
2090,"experimental_trials_compatible",12,"p","right",1,513,6.24027584517077,"compatible","large","right-handed"
2090,"experimental_trials_compatible",13,"p","right",1,519,6.25190388316589,"compatible","large","right-handed"
2090,"experimental_trials_compatible",14,"p","right",1,373,5.92157841964382,"compatible","large","right-handed"
